

DFT calculations of BODIPY obtained in;         0:00:17.247461s ; as data2403/BODIPY/BODIPY_DFT.chk does not exist 
Dipole moments ; (-0.0005521723669275747, 2.9161153986812067, 0.0025738514056217843)
,a.u.,eV
Total energy,-672.4300308591729,-18297.753141149467
Electronic energy,-1539.1404473372932,-41882.144851490564
Nuclear repulsion energy,866.7104164781198,23584.391710341086
MO energy of HOMO,-0.1340618723794658,-3.6480093598816192
MO energy of LUMO,-0.033483926321161324,-0.9111440445903592
HOMO-LUMO gap,-0.10057794605830447,-2.7368653152912605


DFT calculations of BODIPY obtained in;         0:25:07.572330s ; as data2403/BODIPY/BODIPY_DFT.chk exist 
Dipole moments ; (-0.0007874644405044635, 4.2647167752156285, 0.005052126925467159)
,a.u.,eV
Total energy,-681.3141739545653,-18539.502988375105
Electronic energy,-1547.9800244731086,-42122.6819971868
Nuclear repulsion energy,866.6658505185445,23583.17900881173
MO energy of HOMO,-0.23046890941840814,-6.271378459792717
MO energy of LUMO,-0.11597766492641748,-3.155913010010961
HOMO-LUMO gap,-0.11449124449199066,-3.1154654497817567
